,Text,geschrieben,Schusters,Arbeit,genügend
1929-07-10_Mueller_Landsberger,2.52,0.0,0.0,0.0,0.0
1931-09-08_Kunstmann_Landsberger,0.0,0.0,0.0,1.54,0.0
1931-11-24_Kunstmann_Landsberger,0.0,0.0,0.0,1.52,0.0
1936-05-09_Mueller_Landsberger,0.0,0.0,0.0,4.6,0.0
1936-11-09_Mueller_Landsberger,0.0,0.0,0.0,2.36,0.0
1936-11-11_Mueller_Landsberger,0.0,0.0,0.0,1.7,0.0
1936-11-27_Mueller_Landsberger,2.07,2.07,1.38,1.38,1.38
1936-12-13_Landsberger_Mueller,0.0,0.0,0.0,1.65,0.0
1937-01-29_Mueller_Landsberger,2.99,0.0,0.0,1.49,0.0
1937-02-09_Landsberger_Mueller,0.0,0.0,0.0,2.61,0.0
1937-04-07_Mueller_Landsberger,2.36,0.0,0.0,0.0,0.0
1937-04-13_Landsberger_Mueller,0.0,0.0,0.0,1.94,0.0
1937-04-16_Mueller_Landsberger,0.0,0.0,1.45,0.0,0.0
1937-04-29_Mueller_Landsberger,1.88,0.0,0.0,2.51,0.0
1937-05-03_Landsberger_Mueller,0.0,0.0,0.0,2.86,0.0
1937-05-08_Landsberger_Mueller,0.0,0.0,0.0,2.17,0.0
1937-05-14_Landsberger_Mueller,0.0,0.0,0.0,2.62,0.0
1937-05-18_Mueller_Landsberger,2.34,0.0,0.0,4.69,0.0
1937-05-26_Mueller_Landsberger,0.0,0.0,0.0,1.49,0.0
1937-06-19_Landsberger_Mueller,1.36,0.0,0.0,1.36,0.0
1937-06-25_Mueller_Landsberger,1.69,0.0,0.0,0.0,0.0
1937-07-19_Mueller_Landsberger,0.0,0.0,0.0,2.08,0.0
1937-07-25_Mueller_Landsberger,0.0,4.46,0.0,1.79,0.0
1937-10-08_Landsberger_Mueller,2.41,0.0,0.0,0.0,0.0
1937-11-22_Mueller_Landsberger,0.0,0.0,0.0,2.31,0.0
1937-12-12_Landsberger_Mueller,0.0,0.0,0.0,1.77,0.0
1938-01-20_Mueller_Landsberger,1.57,0.0,0.0,3.94,0.0
Summe,21.19,6.53,2.83,50.38,1.38
